,State,TotalP2010,TotalP2011,TotalP2012,TotalP2013,TotalP2014
6,CT,203188,195792,205073,207118,197271
8,FL,510201,500907,442188,542570,553738
9,GA,561796,549483,555238,581082,597955
19,MD,250812,272882,245197,248554,250058
20,MA,108868,103058,110384,102521,124671
22,MN,429062,425422,417674,405967,466967
28,NH,156829,131919,129929,166328,161033
29,NJ,376845,390931,393682,403225,388386
31,NY,836703,879395,817908,872500,871720
32,NC,576162,572796,560887,606427,595660
34,OH,1032440,1067943,1067944,1149882,1547368
37,PA,3064745,3870671,4730336,5873742,7087392
38,RI,3399,3419,2822,2627,4304
39,SC,649978,661898,646738,690644,675110
44,VT,80143,80677,77979,84188,85874
45,VA,1096973,1085234,1045095,1023009,979780
47,WV,3699729,3820203,3720223,3809750,4154063
